run;repetition;Module;queuedPacketsPerSlot:mean
binomialCQITwoChunks-0-20171219-21:40:57-7740;0;Network.antenna;8.2650826993074
binomialCQITwoChunks-1-20171219-21:40:57-7408;1;Network.antenna;9.2920005930789
binomialCQITwoChunks-2-20171219-21:40:57-10308;2;Network.antenna;8.2106159279855
binomialCQITwoChunks-3-20171219-21:40:57-10344;3;Network.antenna;8.4117611714381
binomialCQITwoChunks-4-20171219-21:40:57-8956;4;Network.antenna;8.8703833126564
binomialCQITwoChunks-5-20171219-21:40:57-8952;5;Network.antenna;8.5192168516023
binomialCQITwoChunks-6-20171219-21:40:57-15244;6;Network.antenna;8.8873296618852
binomialCQITwoChunks-7-20171219-21:40:57-6436;7;Network.antenna;8.3354087747793
binomialCQITwoChunks-8-20171219-21:41:09-4472;8;Network.antenna;8.0899393957948
binomialCQITwoChunks-9-20171219-21:41:09-8248;9;Network.antenna;8.0442525592734
binomialCQITwoChunks-10-20171219-21:41:09-12952;10;Network.antenna;8.2438246695516
binomialCQITwoChunks-11-20171219-21:41:09-1372;11;Network.antenna;8.1431164445285
binomialCQITwoChunks-12-20171219-21:41:10-14092;12;Network.antenna;8.3973723703553
binomialCQITwoChunks-13-20171219-21:41:09-13348;13;Network.antenna;8.3153893558426
binomialCQITwoChunks-14-20171219-21:41:10-9144;14;Network.antenna;8.7072205142627
binomialCQITwoChunks-15-20171219-21:41:09-5256;15;Network.antenna;8.0908770112959
binomialCQITwoChunks-16-20171219-21:41:20-7892;16;Network.antenna;9.1015385401432
binomialCQITwoChunks-17-20171219-21:41:20-5636;17;Network.antenna;8.5952144845015
binomialCQITwoChunks-18-20171219-21:41:20-14428;18;Network.antenna;8.5226769713147
binomialCQITwoChunks-19-20171219-21:41:20-3348;19;Network.antenna;8.9990623097116
binomialCQITwoChunks-20-20171219-21:41:20-14376;20;Network.antenna;8.1231758376651
binomialCQITwoChunks-21-20171219-21:41:20-1512;21;Network.antenna;8.6917703362745
binomialCQITwoChunks-22-20171219-21:41:20-11936;22;Network.antenna;8.4605229526633
binomialCQITwoChunks-23-20171219-21:41:26-6308;23;Network.antenna;8.3770153431275
binomialCQITwoChunks-24-20171219-21:41:30-820;24;Network.antenna;8.1945189183658
binomialCQITwoChunks-25-20171219-21:41:30-11008;25;Network.antenna;8.3609510224707
binomialCQITwoChunks-26-20171219-21:41:30-2460;26;Network.antenna;8.8055425148291
binomialCQITwoChunks-27-20171219-21:41:30-13272;27;Network.antenna;7.7777154137463
binomialCQITwoChunks-28-20171219-21:41:30-13812;28;Network.antenna;8.6485923488865
binomialCQITwoChunks-29-20171219-21:41:30-12232;29;Network.antenna;8.264817816303
binomialCQITwoChunks-30-20171219-21:41:30-13084;30;Network.antenna;8.6394986289637
binomialCQITwoChunks-31-20171219-21:41:36-14056;31;Network.antenna;8.2562670715527
binomialCQITwoChunks-32-20171219-21:41:40-13112;32;Network.antenna;8.485428186161
binomialCQITwoChunks-33-20171219-21:41:40-3960;33;Network.antenna;9.1625745940769
binomialCQITwoChunks-34-20171219-21:41:40-3228;34;Network.antenna;8.3528814559312
binomialCQITwoChunks-35-20171219-21:41:41-3168;35;Network.antenna;8.4736013697421
binomialCQITwoChunks-36-20171219-21:41:41-4952;36;Network.antenna;9.129314418992
binomialCQITwoChunks-37-20171219-21:41:41-7432;37;Network.antenna;8.0013441598681
binomialCQITwoChunks-38-20171219-21:41:45-10256;38;Network.antenna;8.3838400206188
binomialCQITwoChunks-39-20171219-21:41:50-1856;39;Network.antenna;8.9288044734399
binomialCQITwoChunks-40-20171219-21:41:50-8332;40;Network.antenna;8.5772675841448
binomialCQITwoChunks-41-20171219-21:41:51-3904;41;Network.antenna;8.7752687070037
binomialCQITwoChunks-42-20171219-21:41:51-2680;42;Network.antenna;8.0586661174806
binomialCQITwoChunks-43-20171219-21:41:51-4748;43;Network.antenna;7.9241970327805
binomialCQITwoChunks-44-20171219-21:41:51-11824;44;Network.antenna;8.3116003495128
binomialCQITwoChunks-45-20171219-21:41:52-14408;45;Network.antenna;8.7695049004142
binomialCQITwoChunks-46-20171219-21:41:55-7268;46;Network.antenna;8.0591581851492
binomialCQITwoChunks-47-20171219-21:42:01-11280;47;Network.antenna;8.6756880997529
binomialCQITwoChunks-48-20171219-21:42:01-4376;48;Network.antenna;8.6882274877158
binomialCQITwoChunks-49-20171219-21:42:01-15220;49;Network.antenna;8.4461478631079
binomialCQITwoChunks-50-20171219-21:42:02-14400;50;Network.antenna;8.2283274699127
binomialCQITwoChunks-51-20171219-21:42:02-11928;51;Network.antenna;8.6089609132089
binomialCQITwoChunks-52-20171219-21:42:02-13908;52;Network.antenna;8.4156377707674
binomialCQITwoChunks-53-20171219-21:42:03-14404;53;Network.antenna;8.1830366859481
binomialCQITwoChunks-54-20171219-21:42:08-8852;54;Network.antenna;8.6264620855506
binomialCQITwoChunks-55-20171219-21:42:13-15068;55;Network.antenna;8.6184450338963
binomialCQITwoChunks-56-20171219-21:42:13-12648;56;Network.antenna;8.449443665982
binomialCQITwoChunks-57-20171219-21:42:14-11076;57;Network.antenna;8.2208383245795
binomialCQITwoChunks-58-20171219-21:42:15-14968;58;Network.antenna;8.4857516903639
binomialCQITwoChunks-59-20171219-21:42:15-3160;59;Network.antenna;8.2001202876667
binomialCQITwoChunks-60-20171219-21:42:17-10648;60;Network.antenna;8.1585192362016
binomialCQITwoChunks-61-20171219-21:42:17-7148;61;Network.antenna;8.4230731861973
binomialCQITwoChunks-62-20171219-21:42:21-9396;62;Network.antenna;8.5395076893218
binomialCQITwoChunks-63-20171219-21:42:25-12768;63;Network.antenna;8.5491092230996
binomialCQITwoChunks-64-20171219-21:42:26-4464;64;Network.antenna;8.2976374393847
binomialCQITwoChunks-65-20171219-21:42:27-10004;65;Network.antenna;8.0356538325824
binomialCQITwoChunks-66-20171219-21:42:27-15296;66;Network.antenna;8.9798816810144
binomialCQITwoChunks-67-20171219-21:42:28-9152;67;Network.antenna;9.030096323035
binomialCQITwoChunks-68-20171219-21:42:28-380;68;Network.antenna;8.2482886032089
binomialCQITwoChunks-69-20171219-21:42:29-8352;69;Network.antenna;8.0602149108457
binomialCQITwoChunks-70-20171219-21:42:32-6576;70;Network.antenna;8.6025615944948
binomialCQITwoChunks-71-20171219-21:42:37-12956;71;Network.antenna;8.3625037889107
binomialCQITwoChunks-72-20171219-21:42:37-2320;72;Network.antenna;8.3775123272805
binomialCQITwoChunks-73-20171219-21:42:38-1276;73;Network.antenna;8.8988654818417
binomialCQITwoChunks-74-20171219-21:42:39-3348;74;Network.antenna;8.6114158931448
binomialCQITwoChunks-75-20171219-21:42:39-10308;75;Network.antenna;8.3300265828439
binomialCQITwoChunks-76-20171219-21:42:40-2688;76;Network.antenna;8.5792362579349
binomialCQITwoChunks-77-20171219-21:42:41-6584;77;Network.antenna;8.361430636023
binomialCQITwoChunks-78-20171219-21:42:44-14776;78;Network.antenna;8.2581664883493
binomialCQITwoChunks-79-20171219-21:42:48-11852;79;Network.antenna;9.1506351018569
binomialCQITwoChunks-80-20171219-21:42:48-3428;80;Network.antenna;8.2766282702169
binomialCQITwoChunks-81-20171219-21:42:51-8700;81;Network.antenna;8.5430476438734
binomialCQITwoChunks-82-20171219-21:42:51-4780;82;Network.antenna;8.3157098693614
binomialCQITwoChunks-83-20171219-21:42:51-2180;83;Network.antenna;8.2247141031344
binomialCQITwoChunks-84-20171219-21:42:51-12548;84;Network.antenna;8.3382592966677
binomialCQITwoChunks-85-20171219-21:42:52-2588;85;Network.antenna;8.3901614066184
binomialCQITwoChunks-86-20171219-21:42:56-3592;86;Network.antenna;8.9179197105951
binomialCQITwoChunks-87-20171219-21:43:02-11724;87;Network.antenna;8.6050096289836
binomialCQITwoChunks-88-20171219-21:43:02-9776;88;Network.antenna;8.1059053040395
binomialCQITwoChunks-89-20171219-21:43:03-13500;89;Network.antenna;8.7228335854302
binomialCQITwoChunks-90-20171219-21:43:04-10932;90;Network.antenna;8.9909394640789
binomialCQITwoChunks-91-20171219-21:43:05-7224;91;Network.antenna;8.511556665891
binomialCQITwoChunks-92-20171219-21:43:05-13116;92;Network.antenna;8.409286033438
binomialCQITwoChunks-93-20171219-21:43:07-8212;93;Network.antenna;8.4792144247992
binomialCQITwoChunks-94-20171219-21:43:09-6956;94;Network.antenna;8.5736214818336
binomialCQITwoChunks-95-20171219-21:43:14-10940;95;Network.antenna;8.853439410606
binomialCQITwoChunks-96-20171219-21:43:14-9068;96;Network.antenna;8.686416075886
binomialCQITwoChunks-97-20171219-21:43:15-3484;97;Network.antenna;8.9843280616502
binomialCQITwoChunks-98-20171219-21:43:16-13412;98;Network.antenna;8.5471903383444
binomialCQITwoChunks-99-20171219-21:43:16-12644;99;Network.antenna;8.2791111327074
